anchors,anchor_count,alpha,cv_loss,pc1_r2,pc2_r2,pc3_r2,normalized_3d_rmse,mean_euclidean_error
adventurous|altruistic|forgiving|grandiose|impulsive|innovative,6,1.0,39.069157075156994,0.9448764062839692,0.8901016555019513,0.9331964430654118,0.269478673689886,9.617272700272249
adventurous|altruistic|forgiving|grandiose|impulsive|innovative|introspective,7,1.0,36.89219527998942,0.9514021941428955,0.8912547826962379,0.9336330202744052,0.2618535545167644,9.329023637364193
adventurous|altruistic|forgiving|grandiose|impulsive|innovative|introspective|judgmental,8,1.0,33.703271238018964,0.9507656466537424,0.9130104657318233,0.9338603308385081,0.250303020893313,8.895558205016162
adventurous|altruistic|forgiving|grandiose|impulsive|innovative|judgmental,7,1.0,36.4626948728404,0.9454744186482453,0.9054797699229008,0.933784310932227,0.26035538848890205,9.194751961372871
adventurous|altruistic|forgiving|grandiose|impulsive|introspective|judgmental,7,1.0,36.23410515662198,0.9423257543146601,0.9130576397285013,0.934077923833035,0.2594809362610799,9.293785626235328
adventurous|altruistic|forgiving|grandiose|impulsive|manipulative,6,1.0,40.66055591806216,0.939809923829641,0.8901017993568187,0.9324872677335774,0.2748896348450762,9.677614040398128
adventurous|altruistic|forgiving|grandiose|impulsive|innovative|manipulative,7,1.0,39.23208488978274,0.9438304917266714,0.8914406231053416,0.9325050384190047,0.27004918227454233,9.50905420626989
adventurous|altruistic|forgiving|grandiose|impulsive|innovative|introspective|manipulative,8,0.1,36.038964320268974,0.951230213665097,0.8975887014963846,0.932756461359138,0.2588090674439075,9.090525001524675
adventurous|altruistic|forgiving|grandiose|impulsive|innovative|introspective|judgmental|manipulative,9,0.1,33.35528405051196,0.9508498944337623,0.9154237363858292,0.9332111927323669,0.24902234579732896,8.725515998341688
adventurous|altruistic|forgiving|grandiose|impulsive|innovative|judgmental|manipulative,8,1.0,37.048220052425116,0.9442600109019534,0.9043324428154742,0.933213202573431,0.26245272093593464,9.217992251255884
adventurous|altruistic|forgiving|grandiose|impulsive|introspective|manipulative,7,1.0,38.89473247594634,0.9412993663884981,0.8982203303241267,0.9333693392542559,0.2688261700882751,9.509222267819776
adventurous|altruistic|forgiving|grandiose|impulsive|introspective|judgmental|manipulative,8,1.0,36.08673469191162,0.9412763529531883,0.9162059832877547,0.9337773052306096,0.25896222632163274,9.199840266065088
adventurous|altruistic|forgiving|grandiose|impulsive|judgmental|manipulative,7,1.0,38.604238997873935,0.9401922704947193,0.9022472491757259,0.9332376715715749,0.26786768184212234,9.459273217033747
adventurous|altruistic|forgiving|grandiose|impulsive|manipulative|optimistic,7,1.0,36.023309857426035,0.9501547339291041,0.8992325757908196,0.9340229896118833,0.2586865989940277,9.097114456315074
adventurous|altruistic|forgiving|grandiose|impulsive|innovative|manipulative|optimistic,8,1.0,34.069835377359475,0.9563207142685481,0.8996770405938054,0.9342272540391994,0.2516099185976517,8.83708840242271
adventurous|altruistic|forgiving|grandiose|impulsive|innovative|introspective|manipulative|optimistic,9,1.0,33.08632334754758,0.9564187332161167,0.8999520815185009,0.9452700718467002,0.24795159252782187,8.734763193837587
adventurous|altruistic|forgiving|grandiose|impulsive|innovative|introspective|judgmental|manipulative|optimistic,10,1.0,30.292554143327624,0.9559585428323829,0.9185299055946243,0.9459732358915248,0.2372838999464993,8.330987224265256
adventurous|altruistic|forgiving|grandiose|impulsive|innovative|judgmental|manipulative|optimistic,9,1.0,31.404737496491038,0.9558393691368972,0.9172245799810225,0.9353723116107262,0.24160018435102548,8.466205449802912
adventurous|altruistic|forgiving|grandiose|impulsive|introspective|manipulative|optimistic,8,1.0,34.874564433938936,0.9508077060851406,0.9000117001963792,0.9440876808221712,0.2545309073757359,8.975450446565853
adventurous|altruistic|forgiving|grandiose|impulsive|introspective|judgmental|manipulative|optimistic,9,1.0,32.01858341959102,0.9504638701323587,0.9187911034431939,0.9447540958827383,0.243910508028733,8.604436085635559
adventurous|altruistic|forgiving|grandiose|impulsive|judgmental|manipulative|optimistic,8,1.0,33.3446082360916,0.9498126588540852,0.9165731885820743,0.9352309039530148,0.24890471627980673,8.78178916086787
adventurous|altruistic|forgiving|grandiose|impulsive|manipulative|optimistic|pessimistic,8,0.1,32.9252684988176,0.9560738463069892,0.9043559732014094,0.940407604377893,0.24729813807260267,8.623022709060496
adventurous|altruistic|forgiving|grandiose|impulsive|innovative|manipulative|optimistic|pessimistic,9,1.0,31.886701304575922,0.9599882140599775,0.9035394692700104,0.9401246129593241,0.24339707304830657,8.504506748140363
adventurous|altruistic|forgiving|grandiose|impulsive|innovative|introspective|manipulative|optimistic|pessimistic,10,1.0,30.854798953659685,0.960040206033849,0.9039650995261986,0.9516411532898973,0.2394253781576807,8.388554115172449
adventurous|altruistic|forgiving|grandiose|impulsive|innovative|introspective|judgmental|manipulative|optimistic|pessimistic,11,1.0,28.505012119361623,0.9591928696011803,0.9184967281672548,0.9559486935989973,0.23015667716019214,8.033067938652602
adventurous|altruistic|forgiving|grandiose|impulsive|innovative|judgmental|manipulative|optimistic|pessimistic,10,1.0,29.61067343397439,0.959114904477252,0.9171499951626011,0.9453538482535793,0.23457826268763854,8.159618637490166
adventurous|altruistic|forgiving|grandiose|impulsive|introspective|manipulative|optimistic|pessimistic,9,1.0,32.13509106919942,0.9563929365594362,0.904293779759302,0.94891334893729,0.24431714057987283,8.57400166489206
adventurous|altruistic|forgiving|grandiose|impulsive|introspective|judgmental|manipulative|optimistic|pessimistic,10,1.0,29.754844599753834,0.9557381660529529,0.9189187786913897,0.9527231315623441,0.235117436637843,8.23683132976028
adventurous|altruistic|forgiving|grandiose|impulsive|judgmental|manipulative|optimistic|pessimistic,9,1.0,30.704544614652423,0.9555884730822031,0.9169817968388748,0.9453998882559413,0.23883600262477342,8.34750944130842
adventurous|altruistic|forgiving|grandiose|impulsive|manipulative|optimistic|pessimistic|traditional,9,1.0,31.41474342908706,0.9604755779447802,0.903967055017591,0.9432587302375259,0.24159042207452436,8.468980014306732
adventurous|altruistic|forgiving|grandiose|impulsive|innovative|manipulative|optimistic|pessimistic|traditional,10,1.0,30.83565542026695,0.9606665900537095,0.9045707062748463,0.9484320641870829,0.23935829992099858,8.391641021118705
adventurous|altruistic|forgiving|grandiose|impulsive|innovative|introspective|manipulative|optimistic|pessimistic|traditional,11,1.0,29.87290350458569,0.960769744829519,0.905451790556656,0.9580799453455215,0.23558900023029375,8.277199468140585
adventurous|altruistic|forgiving|grandiose|impulsive|innovative|judgmental|manipulative|optimistic|pessimistic|traditional,11,1.0,28.488551425937555,0.9596487918400496,0.918535200861514,0.9543905787661539,0.23009732963842838,8.043316092653098
adventurous|altruistic|forgiving|grandiose|impulsive|introspective|manipulative|optimistic|pessimistic|traditional,10,1.0,30.793972095955915,0.9603837221945096,0.905212658277962,0.9488017315382271,0.23918618829261784,8.405604603003486
adventurous|altruistic|forgiving|grandiose|impulsive|introspective|judgmental|manipulative|optimistic|pessimistic|traditional,11,1.0,28.563991361474553,0.9594277853871672,0.9194157906939211,0.9526739020286183,0.23038963174925514,8.085263501288631
adventurous|altruistic|forgiving|grandiose|impulsive|judgmental|manipulative|optimistic|pessimistic|traditional,10,1.0,29.37722050483014,0.959447500500592,0.9165511453772414,0.9480897054590328,0.2336509720070256,8.174439014755064
adventurous|altruistic|forgiving|grandiose|impulsive|manipulative|optimistic|traditional,8,1.0,33.60469528290167,0.9568087026351847,0.8990426322586142,0.9392789577139549,0.24988263917211945,8.780637989228639
adventurous|altruistic|forgiving|grandiose|impulsive|innovative|manipulative|optimistic|traditional,9,1.0,32.96208274466247,0.9571622904102307,0.9003748389889698,0.9432565582002675,0.24749000998196127,8.715392348543796
adventurous|altruistic|forgiving|grandiose|impulsive|innovative|introspective|manipulative|optimistic|traditional,10,1.0,32.09187057941128,0.9572742370741257,0.901021714252845,0.952185896887805,0.2441997644892157,8.626011770322362
adventurous|altruistic|forgiving|grandiose|impulsive|innovative|introspective|judgmental|manipulative|optimistic|traditional,11,1.0,29.171555841780627,0.9566814637982307,0.9204265090782472,0.9533613264198494,0.23285594352307007,8.207513233385999
adventurous|altruistic|forgiving|grandiose|impulsive|innovative|judgmental|manipulative|optimistic|traditional,10,1.0,30.207155336565535,0.9564981303140271,0.9185020544606691,0.9450747208631115,0.23695427658211854,8.334299494937907
adventurous|altruistic|forgiving|grandiose|impulsive|introspective|manipulative|optimistic|traditional,9,1.0,33.044669277006,0.956649681126067,0.9001726576621605,0.9445445975465057,0.24778765201406827,8.741093664579036
adventurous|altruistic|forgiving|grandiose|impulsive|introspective|judgmental|manipulative|optimistic|traditional,10,1.0,30.249716445873037,0.9559983372634873,0.9190512292147962,0.9454012477026631,0.23710681666895464,8.36432063728017
adventurous|altruistic|forgiving|grandiose|impulsive|judgmental|manipulative|optimistic|traditional,9,1.0,31.060032365890937,0.9560540379492725,0.916191038152145,0.9407135850965568,0.24026543892067964,8.452083156957226
adventurous|altruistic|forgiving|grandiose|impulsive|manipulative|pessimistic,7,1.0,34.933343038351936,0.9558130283264358,0.8926595284864136,0.9388995603942285,0.2547293154299246,8.894402896443927
